127.0.0.1, 2017-07-16 16:02:17, POST, /admin, HTTP/1.1, 303, 0.068000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/edit/backend/models/db.py, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/edit/backend/models/db.py, HTTP/1.1, 200, 0.053000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/editor_sessions, HTTP/1.1, 200, 0.050000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/todolist.load, HTTP/1.1, 200, 0.066000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/files_menu, HTTP/1.1, 200, 0.072000
127.0.0.1, 2017-07-16 16:02:18, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:02:18, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.108000
127.0.0.1, 2017-07-16 16:02:18, GET, /backend/appadmin/hooks, HTTP/1.1, 200, 0.127000
127.0.0.1, 2017-07-16 16:02:40, GET, /admin/edit/backend/controllers/api.py, HTTP/1.1, 200, 0.066000
127.0.0.1, 2017-07-16 16:02:40, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-07-16 16:03:18, GET, /admin/todolist.load, HTTP/1.1, 200, 0.054000
127.0.0.1, 2017-07-16 16:03:19, GET, /backend/appadmin/hooks, HTTP/1.1, 200, 0.634000
127.0.0.1, 2017-07-16 16:04:18, GET, /admin/todolist.load, HTTP/1.1, 200, 0.052000
127.0.0.1, 2017-07-16 16:04:19, GET, /backend/appadmin/hooks, HTTP/1.1, 200, 0.609000
127.0.0.1, 2017-07-16 16:05:18, GET, /admin/todolist.load, HTTP/1.1, 200, 0.081000
127.0.0.1, 2017-07-16 16:05:19, GET, /backend/appadmin/hooks, HTTP/1.1, 200, 0.622000
127.0.0.1, 2017-07-16 16:06:18, GET, /admin/todolist.load, HTTP/1.1, 200, 0.053000
127.0.0.1, 2017-07-16 16:06:19, GET, /backend/appadmin/hooks, HTTP/1.1, 200, 0.634000
127.0.0.1, 2017-07-16 16:07:18, GET, /admin/todolist.load, HTTP/1.1, 200, 0.039000
127.0.0.1, 2017-07-16 16:07:19, GET, /backend/appadmin/hooks, HTTP/1.1, 200, 0.641000
127.0.0.1, 2017-07-16 16:08:18, GET, /admin/todolist.load, HTTP/1.1, 200, 0.078000
127.0.0.1, 2017-07-16 16:08:19, GET, /backend/appadmin/hooks, HTTP/1.1, 200, 0.670000
127.0.0.1, 2017-07-16 16:09:18, GET, /admin/todolist.load, HTTP/1.1, 200, 0.067000
127.0.0.1, 2017-07-16 16:09:19, GET, /backend/appadmin/hooks, HTTP/1.1, 200, 0.643000
127.0.0.1, 2017-07-16 16:10:18, GET, /admin/todolist.load, HTTP/1.1, 200, 0.071000
127.0.0.1, 2017-07-16 16:10:18, GET, /backend/appadmin/hooks, HTTP/1.1, 200, 0.129000
127.0.0.1, 2017-07-16 16:11:18, GET, /admin/todolist.load, HTTP/1.1, 200, 0.085000
127.0.0.1, 2017-07-16 16:11:18, GET, /backend/appadmin/hooks, HTTP/1.1, 200, 0.150000
127.0.0.1, 2017-07-16 16:12:18, GET, /admin/todolist.load, HTTP/1.1, 200, 0.061000
127.0.0.1, 2017-07-16 16:12:18, GET, /backend/appadmin/hooks, HTTP/1.1, 200, 0.129000
127.0.0.1, 2017-07-16 16:12:42, GET, /admin/site, HTTP/1.1, 200, 0.060000
127.0.0.1, 2017-07-16 16:12:42, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:12:42, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:12:42, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:12:42, POST, /admin/check_version, HTTP/1.1, 200, 0.574000
127.0.0.1, 2017-07-16 16:12:53, GET, /admin/compile_app/admin/skip_failed_views, HTTP/1.1, 303, 2.103000
127.0.0.1, 2017-07-16 16:12:53, GET, /admin/site, HTTP/1.1, 200, 0.052000
127.0.0.1, 2017-07-16 16:13:03, GET, /admin/gae/deploy, HTTP/1.1, 303, 0.022000
127.0.0.1, 2017-07-16 16:13:03, GET, /admin/site, HTTP/1.1, 200, 0.047000
127.0.0.1, 2017-07-16 16:13:11, GET, /admin/wizard, HTTP/1.1, 200, 0.028000
127.0.0.1, 2017-07-16 16:13:14, GET, /admin/site, HTTP/1.1, 200, 0.049000
127.0.0.1, 2017-07-16 16:13:17, GET, /admin/site, HTTP/1.1, 200, 0.048000
127.0.0.1, 2017-07-16 16:13:20, GET, /admin/debug/interact, HTTP/1.1, 200, 0.028000
127.0.0.1, 2017-07-16 16:13:20, GET, /admin/static/_2.14.6/js/autoscroll.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:24, GET, /admin/debug/interact, HTTP/1.1, 200, 0.045000
127.0.0.1, 2017-07-16 16:13:27, GET, /admin/debug/interact, HTTP/1.1, 200, 0.081000
127.0.0.1, 2017-07-16 16:13:29, GET, /admin, HTTP/1.1, 303, 0.018000
127.0.0.1, 2017-07-16 16:13:29, GET, /admin/site, HTTP/1.1, 200, 0.049000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome, HTTP/1.1, 200, 0.510000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000000
